dataset,min_task_num,max_task_num,eval_min,eval_max,model,hidden_size,num_mat_len,batch_size,lr,wd,early_stop,is_test,log_time,lsd,lmd,krc,hr@1,hr@2,hr@3,hr@4,hr@5,hr@6,hr@7,ed,acc@1,acc@2,acc@3,acc@4,acc@5,acc@6,acc@7
food_pd,0,7,1,11,graph2route_pd,8,5,64,0.01,1e-05,10,False,15:56:38,0.3546006944444445,0.34331597222222227,0.7734375,0.8255208333333334,0.9973958333333334,0.8324652777777777,0.9967447916666666,0.9994791666666667,1.0,1.0,1.2604166666666667,0.8255208333333334,0.8203125,0.4244791666666667,0.4244791666666667,0.4244791666666667,0.4244791666666667,0.4244791666666667
food_pd,0,7,1,25,graph2route_pd,8,5,64,0.01,1e-05,10,False,15:56:38,0.3546006944444445,0.34331597222222227,0.7734375,0.8255208333333334,0.9973958333333334,0.8324652777777777,0.9967447916666666,0.9994791666666667,1.0,1.0,1.2604166666666667,0.8255208333333334,0.8203125,0.4244791666666667,0.4244791666666667,0.4244791666666667,0.4244791666666667,0.4244791666666667
food_pd,0,7,1,11,graph2route_pd,8,5,64,0.01,1e-05,10,False,15:59:57,0.30851063829787234,0.30851063829787234,0.7943262411347517,0.851063829787234,1.0,0.8439716312056735,1.0,1.0,1.0,1.0,1.148936170212766,0.851063829787234,0.851063829787234,0.46808510638297873,0.46808510638297873,0.46808510638297873,0.46808510638297873,0.46808510638297873
food_pd,0,7,1,25,graph2route_pd,8,5,64,0.01,1e-05,10,False,15:59:57,0.30851063829787234,0.30851063829787234,0.7943262411347517,0.851063829787234,1.0,0.8439716312056735,1.0,1.0,1.0,1.0,1.148936170212766,0.851063829787234,0.851063829787234,0.46808510638297873,0.46808510638297873,0.46808510638297873,0.46808510638297873,0.46808510638297873
food_pd,0,7,1,11,graph2route_pd,8,5,64,0.01,1e-05,10,False,12:9:51,0.5158854166666667,0.46953125,0.6963541666666667,0.5921875,0.9921875,0.8364583333333334,0.9890625,0.9956249999999999,1.0,1.0,1.6171875,0.5921875,0.584375,0.3265625,0.3265625,0.3265625,0.3265625,0.3265625
food_pd,0,7,1,25,graph2route_pd,8,5,64,0.01,1e-05,10,False,12:9:51,0.5158854166666667,0.46953125,0.6963541666666667,0.5921875,0.9921875,0.8364583333333334,0.9890625,0.9956249999999999,1.0,1.0,1.6171875,0.5921875,0.584375,0.3265625,0.3265625,0.3265625,0.3265625,0.3265625
food_pd,0,7,1,11,graph2route_pd,8,5,64,0.01,1e-05,10,False,12:11:48,0.5143229166666666,0.4500868055555555,0.7109375,0.6276041666666666,0.9895833333333334,0.8385416666666669,0.9856770833333334,0.9958333333333332,1.0,1.0,1.5677083333333333,0.6276041666666666,0.6223958333333334,0.3385416666666667,0.3385416666666667,0.3385416666666667,0.3385416666666667,0.3385416666666667
food_pd,0,7,1,25,graph2route_pd,8,5,64,0.01,1e-05,10,False,12:11:48,0.5143229166666666,0.4500868055555555,0.7109375,0.6276041666666666,0.9895833333333334,0.8385416666666669,0.9856770833333334,0.9958333333333332,1.0,1.0,1.5677083333333333,0.6276041666666666,0.6223958333333334,0.3385416666666667,0.3385416666666667,0.3385416666666667,0.3385416666666667,0.3385416666666667
food_pd,0,7,1,11,graph2route_pd,8,10,64,0.01,1e-05,10,False,16:9:11,0.3400520833333333,0.3336979166666666,0.7787291666666666,0.7821875,0.99875,0.8520833333333332,0.99859375,0.9993750000000001,1.0,1.0,1.2115625,0.7821875,0.780625,0.45625,0.45625,0.45625,0.45625,0.45625
food_pd,0,7,1,25,graph2route_pd,8,10,64,0.01,1e-05,10,False,16:9:11,0.3400520833333333,0.3336979166666666,0.7787291666666666,0.7821875,0.99875,0.8520833333333332,0.99859375,0.9993750000000001,1.0,1.0,1.2115625,0.7821875,0.780625,0.45625,0.45625,0.45625,0.45625,0.45625
